".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"BMI","20岁以下","20-30岁",5140,12722,59.3030381503643,0,0,"****"
"BMI","20岁以下","30-45岁",5140,2788,42.7825469005977,0,0,"****"
"BMI","20岁以下","45岁以上",5140,108,6.07140294773761,1.26797583185408e-09,7.60785499112446e-09,"****"
"BMI","20-30岁","30-45岁",12722,2788,1.25080560695671,0.211005408742797,1,"ns"
"BMI","20-30岁","45岁以上",12722,108,-4.03384495934995,5.48715295130095e-05,0.000329229177078057,"***"
"BMI","30-45岁","45岁以上",2788,108,-4.24138257606739,2.22147103192891e-05,0.000133288261915734,"***"
